test_id,problem_class,N,sqrt_N,search_space_bucket,search_space_target,results_identical,b_comparable,RCR,runtime_B,runtime_E,runtime_F,runtime_G,RTER_E_B,RTER_F_B,RTER_G_B,FRR_F_E,GRR,GRF,constraint_eval_E,constraint_eval_F,constraint_eval_G,fusion_candidate_G,fusion_selected_G,fusion_rejected_cost_G,fused_constraint_F,fused_constraint_G,best_E_F_runtime,oracle_efficiency
basic_12,mixed,12,3,<1e3,,True,True,1.0,13458.0,12250.0,12104.0,12145.5,1.098612,1.111864,1.108065,1.012062,1.008604,0.996583,0,0,0,0,0,0,0,0,12104.0,0.996583
basic_18,mixed,18,4,<1e3,,True,True,1.0,13375.0,12666.5,12021.0,12083.5,1.055935,1.112636,1.106881,1.053698,1.048248,0.994828,0,0,0,0,0,0,0,0,12021.0,0.994828
basic_21,mixed,21,4,<1e3,,True,True,1.0,12646.0,11520.5,12041.5,11604.5,1.097695,1.050201,1.08975,0.956733,0.992761,1.037658,0,0,0,0,0,0,0,0,11520.5,0.992761
basic_35,mixed,35,5,<1e3,,True,True,1.0,12833.5,15708.0,16917.0,15812.0,0.817004,0.758616,0.81163,0.928533,0.993423,1.069884,0,0,0,1,0,1,1,0,15708.0,0.993423
basic_60,mixed,60,7,<1e3,,True,True,1.0,13437.5,12625.0,12458.0,11999.5,1.064356,1.078624,1.119838,1.013405,1.052127,1.03821,0,0,0,0,0,0,0,0,12458.0,1.03821
basic_84,mixed,84,9,<1e3,,True,True,1.0,13875.0,12479.5,12146.0,12208.5,1.111823,1.142351,1.136503,1.027458,1.022198,0.994881,0,0,0,0,0,0,0,0,12146.0,0.994881
basic_97,mixed,97,9,<1e3,,True,True,1.0,12895.5,13062.5,12708.0,12604.5,0.987215,1.014754,1.023087,1.027896,1.036336,1.008211,0,0,0,0,0,0,0,0,12708.0,1.008211
basic_100,mixed,100,10,<1e3,,True,False,0.75,13896.0,16125.0,17958.0,16521.0,0.861767,0.773806,0.841111,0.897928,0.976031,1.08698,0,0,0,1,0,1,1,0,16125.0,0.976031
basic_231,mixed,231,15,<1e3,,True,True,1.0,14042.0,16937.5,18291.5,16812.0,0.829048,0.767679,0.835237,0.925977,1.007465,1.088003,0,0,0,1,0,1,1,0,16937.5,1.007465
basic_997,mixed,997,31,<1e3,,True,True,1.0,15625.0,16354.0,16958.5,16292.0,0.955424,0.921367,0.95906,0.964354,1.003806,1.04091,0,0,0,0,0,0,0,0,16354.0,1.003806
prime_8b,prime,193,13,<1e3,,True,True,1.0,13604.0,13708.0,13771.0,13979.0,0.992413,0.987873,0.973174,0.995425,0.980614,0.985121,0,0,0,0,0,0,0,0,13708.0,0.980614
semiprime_8b,semiprime,194,13,<1e3,,True,True,1.0,13729.0,13916.5,13562.5,13354.0,0.986527,1.012276,1.028081,1.026101,1.042122,1.015613,0,0,0,0,0,0,0,0,13562.5,1.015613
semiprime_near_equal_8b,semiprime_near_equal,221,14,<1e3,,True,True,1.0,14042.0,17000.0,19271.0,17333.5,0.826,0.72866,0.810108,0.882155,0.98076,1.111778,0,0,0,1,0,1,1,0,17000.0,0.98076
repeated_8b,repeated_factor_composite,128,11,<1e3,,True,True,1.0,14812.5,12437.5,14687.5,12583.5,1.190955,1.008511,1.177137,0.846809,0.988398,1.167203,0,0,0,0,0,0,0,0,12437.5,0.988398
highly_composite_8b,highly_composite,210,14,<1e3,,True,True,1.0,13750.5,16708.0,17729.0,16583.0,0.822989,0.775594,0.829193,0.942411,1.007538,1.069107,0,0,0,1,0,1,1,0,16708.0,1.007538
mixed_8b,mixed_factor_composite,154,12,<1e3,,True,True,1.0,14166.5,18124.5,18458.5,16583.5,0.781622,0.767478,0.854253,0.981905,1.092924,1.113064,0,0,0,1,0,1,1,0,18124.5,1.092924
prime_10b,prime,769,27,<1e3,,True,True,1.0,15020.5,15937.5,16229.5,15521.0,0.942463,0.925506,0.967753,0.982008,1.026835,1.045648,0,0,0,0,0,0,0,0,15937.5,1.026835
semiprime_10b,semiprime,679,26,<1e3,,True,True,1.5,13854.0,16166.5,17791.5,16396.0,0.856957,0.778686,0.844962,0.908664,0.986003,1.085112,1,0,1,1,0,1,1,0,16166.5,0.986003
semiprime_near_equal_10b,semiprime_near_equal,899,29,<1e3,,True,True,1.0,15833.5,19583.5,21416.5,19541.5,0.808512,0.739313,0.81025,0.914412,1.002149,1.09595,0,0,0,1,0,1,1,0,19583.5,1.002149
repeated_10b,repeated_factor_composite,512,22,<1e3,,True,True,1.0,15396.0,12937.5,13000.0,12791.5,1.190029,1.184308,1.203612,0.995192,1.011414,1.0163,0,0,0,0,0,0,0,0,12937.5,1.011414
highly_composite_10b,highly_composite,2310,48,<1e3,,True,True,1.25,15000.0,18083.5,20291.0,18062.5,0.829485,0.739244,0.83045,0.891208,1.001163,1.123377,3,0,3,2,0,2,2,0,18083.5,1.001163
mixed_10b,mixed_factor_composite,715,26,<1e3,,True,True,1.333333,14375.0,18041.5,20208.5,18687.0,0.796774,0.711334,0.769251,0.892768,0.965457,1.08142,4,0,4,2,0,2,2,0,18041.5,0.965457
prime_12b,prime,3079,55,<1e3,,True,True,1.0,18500.5,20208.5,20104.0,20021.0,0.915481,0.92024,0.924055,1.005198,1.009365,1.004146,0,0,0,0,0,0,0,0,20104.0,1.004146
semiprime_12b,semiprime,3007,54,<1e3,,True,True,1.0,16333.0,19396.0,21708.5,19917.0,0.842081,0.752378,0.820053,0.893475,0.973841,1.089948,1,0,1,1,0,1,1,0,19396.0,0.973841
semiprime_near_equal_12b,semiprime_near_equal,3599,59,<1e3,,True,True,1.0,19083.5,23729.5,26396.0,24729.0,0.80421,0.722969,0.771705,0.898981,0.959582,1.067411,0,0,0,1,0,1,1,0,23729.5,0.959582
repeated_12b,repeated_factor_composite,2048,45,<1e3,,True,True,1.0,16250.0,13541.5,13520.5,13083.0,1.200015,1.201879,1.24207,1.001553,1.035045,1.03344,0,0,0,0,0,0,0,0,13520.5,1.03344
highly_composite_12b,highly_composite,30030,173,<1e3,,True,True,1.4,15791.5,19374.5,27270.5,20896.0,0.815066,0.579069,0.755719,0.710456,0.927187,1.305058,6,0,3,3,1,2,3,1,19374.5,0.927187
mixed_12b,mixed_factor_composite,3553,59,<1e3,,True,True,1.2,14979.5,19145.5,24083.5,19812.5,0.782403,0.621982,0.756063,0.794963,0.966334,1.215571,4,0,4,2,0,2,2,0,19145.5,0.966334
prime_14b,prime,12289,110,<1e3,,True,True,1.0,24458.0,28062.5,28000.0,27854.0,0.871555,0.8735,0.878079,1.002232,1.007485,1.005242,0,0,0,0,0,0,0,0,28000.0,1.005242
semiprime_14b,semiprime,12319,110,<1e3,,True,True,1.0,23417.0,29875.0,33771.0,28791.5,0.783833,0.693406,0.81333,0.884635,1.037633,1.17295,1,0,1,1,0,1,1,0,29875.0,1.037633
semiprime_near_equal_14b,semiprime_near_equal,14351,119,<1e3,,True,True,1.0,25395.5,31854.5,36729.0,31416.5,0.797234,0.691429,0.808349,0.867285,1.013942,1.169099,1,0,1,1,0,1,1,0,31854.5,1.013942
repeated_14b,repeated_factor_composite,8192,90,<1e3,,True,True,1.0,16833.5,13625.0,13375.0,13729.5,1.235486,1.258579,1.226083,1.018692,0.992389,0.97418,0,0,0,0,0,0,0,0,13375.0,0.97418
highly_composite_14b,highly_composite,30030,173,<1e3,,True,True,1.4,16312.5,19479.5,27146.0,21083.0,0.837419,0.600917,0.773728,0.717583,0.923943,1.287578,6,0,3,3,1,2,3,1,19479.5,0.923943
mixed_14b,mixed_factor_composite,12673,112,<1e3,,True,True,1.142857,15916.5,20166.5,30667.0,19979.5,0.789254,0.519011,0.796642,0.657596,1.00936,1.534923,3,0,3,2,0,2,2,0,20166.5,1.00936
prime_16b,prime,49157,221,<1e3,,True,True,1.0,36250.0,44312.5,44083.0,44250.0,0.818054,0.822312,0.819209,1.005206,1.001412,0.996226,0,0,0,0,0,0,0,0,44083.0,0.996226
semiprime_16b,semiprime,49373,222,<1e3,,True,True,1.0,23687.5,31729.0,33520.5,30083.5,0.746557,0.706657,0.787392,0.946555,1.054698,1.114249,1,0,1,1,0,1,1,0,31729.0,1.054698
semiprime_near_equal_16b,semiprime_near_equal,50621,224,<1e3,,True,True,1.0,37395.5,48083.5,55396.0,48562.5,0.77772,0.675058,0.770049,0.867996,0.990136,1.140716,0,0,0,1,0,1,1,0,48083.5,0.990136
repeated_16b,repeated_factor_composite,32768,181,<1e3,,True,True,1.0,17791.5,14520.5,14041.5,14041.5,1.225268,1.267065,1.267065,1.034113,1.034113,1.0,0,0,0,0,0,0,0,0,14041.5,1.0
highly_composite_16b,highly_composite,510510,714,<1e3,,True,True,1.5,16979.5,20729.0,99500.0,23750.0,0.819118,0.170648,0.714926,0.208332,0.8728,4.189474,10,0,3,4,2,2,4,2,20729.0,0.8728
