test_id,input,input_bits,problem_class,result_D,result_E,results_identical,hypothesis_tests_identical,hypothesis_sequence_identical,hypothesis_sequence_compared,deterministic_E,deterministic_D,termination_D,termination_E,wheel6_candidate_tests,sieve_hypothesis_tests,lazy_hypothesis_tests,search_compression_ratio,candidate_space_estimated_size,candidate_generated_count,candidate_skipped_count,candidate_symbolically_excluded_count,candidate_materialized_count,candidate_constraint_count,candidate_constraint_eval_count,candidate_space_next_count,sieve_builder_appends,sieve_filter_rows_scanned,lazy_filter_rows_scanned,vm_instructions_B,vm_instructions_D,vm_instructions_E,allocations_B,allocations_D,allocations_E,allocated_bytes_D,allocated_bytes_E,exec_ns_B,exec_ns_D,exec_ns_E,wall_ms_B,wall_ms_D,wall_ms_E,peak_mb_D,peak_mb_E,CMR,GER,PCR,ACR,RTR,wall_ratio_D_over_E,exec_ratio_D_over_B,exec_ratio_E_over_B,wall_ratio_E_over_B
basic_12,12,4,mixed,1,1,True,True,True,True,True,True,completed,completed,3,3,3,1.0,0,0,0,0,0,0,0,0,0,0,0,33,40,40,152,78,68,8965,7843,14834,14958,12834,2.228,2.614,2.259,3.2768,3.19488,0.0,,1.0,1.1471,1.1655,1.1569,1.0084,0.8652,1.0143
basic_18,18,5,mixed,1,1,True,True,True,True,True,True,completed,completed,3,3,3,1.0,0,0,0,0,0,0,0,0,0,0,0,33,40,40,152,78,68,8965,7843,14583,12833,10667,2.259,2.292,2.23,3.309568,3.211264,0.0,,1.0,1.1471,1.2031,1.0279,0.88,0.7315,0.9872
basic_21,21,5,mixed,7,7,True,True,True,True,True,True,completed,completed,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,23,30,30,123,79,71,8985,8671,14042,12333,10583,2.115,2.158,2.153,3.325952,3.211264,0.0,,1.0,1.1127,1.1654,1.0024,0.8783,0.7537,1.0177
basic_35,35,6,mixed,7,7,True,True,True,True,True,True,completed,completed,1,1,1,1.0,1,1,0,,0,1,0,1,1,1,0,25,54,46,123,100,81,12162,10004,13292,16916,15125,2.108,2.207,2.243,3.309568,3.260416,0.0,1.0,1.1739,1.2346,1.1184,0.9841,1.2726,1.1379,1.0639
basic_60,60,6,mixed,5,5,True,True,True,True,True,True,completed,completed,3,3,3,1.0,0,0,0,0,0,0,0,0,0,0,0,35,42,42,182,81,73,9049,8735,14208,13542,11375,2.155,2.191,2.26,3.293184,3.260416,0.0,,1.0,1.1096,1.1905,0.9697,0.9531,0.8006,1.0483
basic_84,84,7,mixed,7,7,True,True,True,True,True,True,completed,completed,3,3,3,1.0,0,0,0,0,0,0,0,0,0,0,0,35,42,42,182,81,73,9049,8735,15291,13125,11500,2.185,2.256,2.167,3.325952,3.227648,0.0,,1.0,1.1096,1.1413,1.0415,0.8583,0.7521,0.9917
basic_97,97,7,mixed,97,97,True,True,True,True,True,True,completed,completed,2,2,2,1.0,2,2,0,0,0,0,0,2,2,0,0,37,64,48,93,101,73,10640,9728,14292,16334,11875,2.102,2.193,2.18,3.293184,3.19488,0.0,1.0,1.3333,1.3836,1.3755,1.0061,1.1429,0.8309,1.0372
basic_100,100,7,mixed,1,1,True,True,True,True,True,True,completed,completed,3,4,4,0.75,1,1,0,,0,1,0,1,1,1,0,37,70,62,182,99,80,12142,9984,16292,19416,15750,2.022,2.229,2.152,3.293184,3.227648,0.0,4.0,1.129,1.2375,1.2328,1.0357,1.1918,0.9667,1.0645
basic_231,231,8,mixed,11,11,True,True,True,True,True,True,completed,completed,3,3,3,1.0,2,2,0,,0,1,0,2,2,2,0,41,80,64,153,117,86,13908,10159,15583,19541,16208,2.159,2.215,2.226,3.325952,3.260416,0.0,1.5,1.25,1.3605,1.2056,0.9953,1.254,1.0401,1.0308
basic_997,997,10,mixed,997,997,True,True,True,True,True,True,completed,completed,10,10,10,1.0,10,10,0,0,0,0,0,10,10,0,0,117,224,144,93,183,73,17544,9728,16459,25750,16458,2.176,2.275,2.302,3.309568,3.227648,0.0,1.0,1.5556,2.5068,1.5646,0.9882,1.5645,0.9999,1.0579
prime_8b,193,8,prime,193,193,True,True,True,True,True,True,completed,completed,4,4,4,1.0,4,4,0,0,0,0,0,4,4,0,0,57,104,72,93,121,73,12126,9728,15250,18125,12791,2.351,2.246,2.2,3.309568,3.211264,0.0,1.0,1.4444,1.6575,1.417,1.0208,1.1885,0.8388,0.9358
semiprime_8b,194,8,semiprime,97,97,True,True,True,True,True,True,completed,completed,3,3,3,1.0,2,2,0,0,0,0,0,2,2,0,0,43,70,54,123,104,76,10723,9811,15292,17125,12208,2.216,2.272,2.201,3.309568,3.244032,0.0,1.5,1.2963,1.3684,1.4028,1.0323,1.1199,0.7983,0.9932
semiprime_near_equal_8b,221,8,semiprime_near_equal,17,17,True,True,True,True,True,True,completed,completed,4,4,4,1.0,4,4,0,,0,1,0,4,4,4,0,55,114,82,123,135,84,15410,10095,16834,20917,16541,2.169,2.23,2.192,3.325952,3.227648,0.0,1.0,1.3902,1.6071,1.2646,1.0175,1.2425,0.9826,1.0104
