case,ru_count,noise_ru_count,noise_ratio,relation_reduction,full_projection_ns,analysis_ns,relevant_projection_ns,net_gain_ns,net_gain_ratio,wall_full_ns,wall_relevant_ns,bytes_full,bytes_relevant
997/noise0,63,0,0.0000,0.2206,164417,32250,185583,-53416,-0.3249,4605083,4908417,195514,200715
997/noise1,93,30,0.3226,0.3578,205874,44458,187375,-25959,-0.1261,5168666,5148333,237191,228764
997/noise3,153,90,0.5882,0.5249,272334,66417,191583,14334,0.0526,6080458,5911083,320556,284784
997/noise9,333,270,0.8108,0.7333,480709,126542,205792,148375,0.3087,9320208,8615709,570618,452815
10007/noise0,201,0,0.0000,0.2217,499917,87417,541208,-128708,-0.2575,9095708,9386958,613195,626473
10007/noise1,300,99,0.3300,0.3618,618835,117250,555208,-53623,-0.0867,11000750,10837833,750787,718932
10007/noise3,498,297,0.5964,0.5307,841460,187750,562042,91668,0.1089,14865250,14098125,1025964,903878
10007/noise9,1092,891,0.8159,0.7385,1550958,389584,625583,535791,0.3455,26640083,23429208,1851516,1458607
100003/noise0,633,0,0.0000,0.2221,1529792,246709,1681792,-398709,-0.2606,24512166,25361292,1925430,1963985
100003/noise1,948,315,0.3323,0.3631,1898167,337083,1721667,-160583,-0.0846,30674958,30230250,2363908,2258660
100003/noise3,1578,945,0.5989,0.5325,2737374,599208,1758000,380166,0.1389,43178167,40703208,3240876,2847929
100003/noise9,3468,2835,0.8175,0.7400,5157751,1294417,1924125,1939209,0.3760,85618584,76353750,5871742,4615703
