test_id,problem_class,N,sqrt_N,search_space_bucket,search_space_target,b_e_identical,e_f_identical,candidate_tests_B,hypothesis_tests_E,hypothesis_tests_F,RCR,constraint_count_E,constraint_count_F,residual_constraint_count_F,fusion_fallback_count_F,constraint_eval_E,constraint_eval_F,candidate_skipped_E,candidate_skipped_F,fused_modulus_F,fused_residue_count_F,vm_instr_B,vm_instr_E,vm_instr_F,alloc_B,alloc_E,alloc_F,runtime_B,runtime_E,runtime_F,RTER_E_B,RTER_F_B,FRR,POR_E_B,POR_F_B,FER,CER_F
basic_12,mixed,12,3,<1e3,,True,True,3,3,3,1.0,0,0,0,0,0,0,0,0,0,0,33.0,40.0,40.0,152.0,70.0,70.0,13354.5,11542.0,11625.0,1.157035,1.148774,0.99286,0.825,0.825,,
basic_18,mixed,18,4,<1e3,,True,True,3,3,3,1.0,0,0,0,0,0,0,0,0,0,0,33.0,40.0,40.0,152.0,70.0,70.0,13167.0,11667.0,11271.0,1.128568,1.168219,1.035134,0.825,0.825,,
basic_21,mixed,21,4,<1e3,,True,True,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0,23.0,30.0,30.0,123.0,73.0,73.0,12999.5,11458.5,11083.0,1.134485,1.172922,1.033881,0.766667,0.766667,,
basic_35,mixed,35,5,<1e3,,True,True,1,1,1,1.0,1,1,0,0,0,0,0,0,30,8,25.0,46.0,46.0,123.0,83.0,86.0,12750.0,15520.5,15999.5,0.821494,0.7969,0.970062,0.543478,0.543478,,0.0
basic_60,mixed,60,7,<1e3,,True,True,3,3,3,1.0,0,0,0,0,0,0,0,0,0,0,35.0,42.0,42.0,182.0,75.0,75.0,13437.5,11688.0,11854.0,1.149683,1.133584,0.985996,0.833333,0.833333,,
basic_84,mixed,84,9,<1e3,,True,True,3,3,3,1.0,0,0,0,0,0,0,0,0,0,0,35.0,42.0,42.0,182.0,75.0,75.0,13854.5,11625.0,11583.5,1.191785,1.196055,1.003583,0.833333,0.833333,,
basic_97,mixed,97,9,<1e3,,True,True,2,2,2,1.0,0,0,0,0,0,0,0,0,0,0,37.0,48.0,48.0,93.0,75.0,75.0,12791.0,12354.5,12416.5,1.035331,1.030161,0.995007,0.770833,0.770833,,0.0
basic_100,mixed,100,10,<1e3,,False,True,3,4,4,0.75,1,1,0,0,0,0,0,0,30,8,37.0,62.0,62.0,182.0,82.0,85.0,13979.5,17125.0,16292.0,0.816321,0.858059,1.051129,0.596774,0.596774,,0.0
basic_231,mixed,231,15,<1e3,,True,True,3,3,3,1.0,1,1,0,0,0,0,0,0,42,12,41.0,64.0,64.0,153.0,88.0,91.0,13979.5,16646.0,17208.5,0.839811,0.81236,0.967313,0.640625,0.640625,,0.0
basic_997,mixed,997,31,<1e3,,True,True,10,10,10,1.0,0,0,0,0,0,0,0,0,0,0,117.0,144.0,144.0,93.0,75.0,75.0,15833.5,16125.0,15813.0,0.981922,1.001296,1.019731,0.8125,0.8125,,0.0
prime_8b,prime,193,13,<1e3,,True,True,4,4,4,1.0,0,0,0,0,0,0,0,0,0,0,57.0,72.0,72.0,93.0,75.0,75.0,13542.0,13333.0,13271.0,1.015675,1.02042,1.004672,0.791667,0.791667,,0.0
semiprime_8b,semiprime,194,13,<1e3,,True,True,3,3,3,1.0,0,0,0,0,0,0,0,0,0,0,43.0,54.0,54.0,123.0,78.0,78.0,13791.5,12813.0,13083.5,1.076368,1.054114,0.979325,0.796296,0.796296,,0.0
semiprime_near_equal_8b,semiprime_near_equal,221,14,<1e3,,True,True,4,4,4,1.0,1,1,0,0,0,0,0,0,78,24,55.0,82.0,82.0,123.0,86.0,89.0,14187.5,17770.5,17874.5,0.798374,0.793728,0.994182,0.670732,0.670732,,0.0
repeated_8b,repeated_factor_composite,128,11,<1e3,,True,True,7,7,7,1.0,0,0,0,0,0,0,0,0,0,0,57.0,64.0,64.0,268.0,68.0,68.0,14645.5,12084.0,11937.5,1.211975,1.226848,1.012272,0.890625,0.890625,,
