test_id,problem_class,N,sqrt_N,search_space_bucket,search_space_target,candidate_tests_B,hypothesis_tests_E,candidate_generated_E,candidate_skipped_E,RCR,vm_instr_B,vm_instr_E,POR,alloc_B,alloc_E,AER,runtime_ns_B,runtime_ns_E,RTER,runtime_ns_B_p25,runtime_ns_B_p75,runtime_ns_E_p25,runtime_ns_E_p75,runtime_ns_B_min,runtime_ns_B_max,runtime_ns_E_min,runtime_ns_E_max,peak_memory_B,peak_memory_E,allocated_bytes_B,allocated_bytes_E,relation_dispatch_B,relation_dispatch_E,constraint_eval_E,branch_B,branch_E,state_transition_B,state_transition_E,REI,termination_B,termination_E,results_identical
basic_12,mixed,12,3,<1e3,,3,3,0,0,1.0,33.0,40.0,0.825,152.0,68.0,2.235294,17604.0,16479.0,1.068269,13959,22834,12125,19250,13375,26000,11209,21000,170468.0,222888.0,11364.0,7843.0,0,0,0,7,9,9,10,1.253593,completed,completed,True
basic_18,mixed,18,4,<1e3,,3,3,0,0,1.0,33.0,40.0,0.825,152.0,68.0,2.235294,14771.0,13603.5,1.085824,13500,15584,11792,17166,13333,20792,11500,19542,170468.0,222888.0,11364.0,7843.0,0,0,0,7,9,9,10,1.260422,completed,completed,True
basic_21,mixed,21,4,<1e3,,1,1,0,0,1.0,23.0,30.0,0.766667,123.0,71.0,1.732394,15937.0,11292.0,1.411353,12958,19583,10875,13833,12625,25041,10209,16458,169436.0,223421.0,10088.0,8671.0,0,0,0,5,7,7,8,1.233,completed,completed,True
basic_35,mixed,35,5,<1e3,,1,1,1,0,1.0,25.0,46.0,0.543478,123.0,81.0,1.518519,17958.0,15979.5,1.123815,15709,20042,14708,16625,12834,23209,14166,17666,169436.0,223412.0,10088.0,10004.0,0,1,0,6,12,7,12,0.975212,completed,completed,True
basic_60,mixed,60,7,<1e3,,3,3,0,0,1.0,35.0,42.0,0.833333,182.0,73.0,2.493151,15041.5,11271.0,1.334531,14292,16875,11083,12334,14083,23792,10625,13417,171524.0,223485.0,12664.0,8735.0,0,0,0,7,9,9,10,1.404856,completed,completed,True
basic_84,mixed,84,9,<1e3,,3,3,0,0,1.0,35.0,42.0,0.833333,182.0,73.0,2.493151,15333.5,10958.5,1.399233,14458,17750,10916,11042,14042,25000,10792,11542,171524.0,223485.0,12664.0,8735.0,0,0,0,7,9,9,10,1.427203,completed,completed,True
basic_97,mixed,97,9,<1e3,,2,2,2,0,1.0,37.0,48.0,0.770833,93.0,73.0,1.273973,14542.0,12062.5,1.205554,13292,15583,11666,12916,13167,18000,11333,13958,168384.0,223429.0,8793.0,9728.0,0,0,0,10,14,10,9,1.057878,completed,completed,True
basic_100,mixed,100,10,<1e3,,3,4,1,0,0.75,37.0,62.0,0.596774,182.0,80.0,2.275,14645.5,15208.5,0.962981,14000,15750,14584,16417,13833,28959,14542,16792,171524.0,223417.0,12664.0,9984.0,0,1,0,8,15,9,15,1.09346,completed,completed,False
basic_231,mixed,231,15,<1e3,,3,3,2,0,1.0,41.0,64.0,0.640625,153.0,86.0,1.77907,16916.5,15750.0,1.074063,14250,17917,15542,15958,13833,22458,15125,16542,170496.0,223551.0,11393.0,10159.0,0,1,0,10,17,10,14,1.069733,completed,completed,True
basic_997,mixed,997,31,<1e3,,10,10,10,0,1.0,117.0,144.0,0.8125,93.0,73.0,1.273973,16603.5,15542.0,1.068299,16167,17333,15375,16250,15750,28167,15042,18333,168388.0,223429.0,8798.0,9728.0,0,0,0,34,46,26,17,1.034091,completed,completed,True
prime_8b,prime,193,13,<1e3,,4,4,4,0,1.0,57.0,72.0,0.791667,93.0,73.0,1.273973,15458.0,12791.5,1.208459,14375,16458,12541,13250,14042,24584,12333,16417,168388.0,223429.0,8798.0,9728.0,0,0,0,16,22,14,11,1.068181,completed,completed,True
semiprime_8b,semiprime,194,13,<1e3,,3,3,2,0,1.0,43.0,54.0,0.796296,123.0,76.0,1.618421,14521.0,12687.5,1.144512,13834,16000,12375,13041,13750,24292,11916,14083,169440.0,223487.0,10093.0,9811.0,0,0,0,11,15,11,10,1.138314,completed,completed,True
semiprime_near_equal_8b,semiprime_near_equal,221,14,<1e3,,4,4,4,0,1.0,55.0,82.0,0.670732,123.0,84.0,1.464286,14792.0,16979.0,0.871194,14458,15458,16416,17333,14250,19625,15792,19708,169444.0,223487.0,10098.0,10095.0,0,1,0,15,24,13,15,0.949358,completed,completed,True
repeated_8b,repeated_factor_composite,128,11,<1e3,,7,7,0,0,1.0,57.0,64.0,0.890625,268.0,66.0,4.060606,15292.0,11479.0,1.332172,14916,16041,11167,11917,14667,18042,11042,16333,174860.0,222824.0,17020.0,7779.0,0,0,0,11,13,13,14,1.688944,completed,completed,True
highly_composite_8b,highly_composite,210,14,<1e3,,3,3,1,0,1.0,37.0,58.0,0.637931,183.0,85.0,2.152941,14375.0,15500.0,0.927419,14083,14667,15166,16083,14000,19209,14834,16959,171548.0,223540.0,12688.0,10132.0,0,1,0,8,14,9,14,1.083995,completed,completed,True
mixed_8b,mixed_factor_composite,154,12,<1e3,,3,3,2,0,1.0,41.0,64.0,0.640625,153.0,86.0,1.77907,14666.5,16000.5,0.916628,14166,15000,15417,16375,13875,16208,14833,16875,170496.0,223551.0,11393.0,10159.0,0,1,0,10,17,10,14,1.014682,completed,completed,True
prime_10b,prime,769,27,<1e3,,8,8,8,0,1.0,97.0,120.0,0.808333,93.0,73.0,1.273973,15729.5,14646.0,1.073979,15458,19000,14417,15667,15375,20333,14292,18125,168388.0,223429.0,8798.0,9728.0,0,0,0,28,38,22,15,1.034147,completed,completed,True
semiprime_10b,semiprime,679,26,<1e3,,3,2,3,0,1.5,45.0,61.0,0.737705,123.0,83.0,1.481928,14354.0,16354.0,0.877706,14250,14875,15583,16875,14000,15250,15458,21042,169440.0,223487.0,10093.0,10070.0,0,1,1,12,17,11,14,0.986324,completed,completed,True
