test_id,input,input_bits,problem_class,correct_before,results_identical,events_identical,pruned_identical,deterministic_after,termination_before,termination_after,rust_candidate_tests,wheel6_candidate_tests,sieve_hypothesis_tests,sieve_reasoning_steps,sieve_candidate_pruned,search_compression_ratio,rust_wall_ms,wheel6_wall_ms_before,wheel6_wall_ms_after,sieve_wall_ms_before,sieve_wall_ms_after,sieve_exec_ns_after,wheel6_exec_ns_after,sieve_cpu_ms_after,sieve_peak_mb_after,sieve_delta_wall_ms_before,sieve_delta_wall_ms_after,sieve_cli_wall_ms_before,sieve_cli_wall_ms_after,wheel6_cli_wall_ms_after,sieve_wall_improvement,sieve_vs_wheel6_wall_ratio,sieve_vs_wheel6_exec_ratio,vm_instruction_count,relation_dispatch_count,predicate_eval_count,allocation_count,allocated_bytes,trace_bytes,RER,RCRS_ns,CTE,POS
basic_12,12,4,mixed,True,True,True,True,True,completed,completed,2,3,3,3,0,1.0,2.676,2.52,2.532,2.557,2.456,13459,14458,0.0,3.227648,2.537,2.683,171.00950000030934,171.6220829998747,168.6026249999486,1.0413,0.9699,0.9309,40,1,0,81,9325,2977,0.6667,4486.3333,1.0742,13.3333
basic_18,18,5,mixed,True,True,True,True,True,completed,completed,3,3,3,3,0,1.0,2.177,2.323,2.282,2.374,2.443,12833,15125,0.0,3.244032,2.491,2.502,171.93954200001826,173.0354169999373,162.10033299967108,0.972,1.0706,0.8485,40,1,0,81,9325,2977,1.0,4277.6667,1.1786,13.3333
basic_21,21,5,mixed,True,True,True,True,True,completed,completed,2,1,1,2,0,1.0,2.237,2.367,2.277,2.364,2.366,12084,13708,0.0,3.178496,2.388,2.601,171.6355830003522,170.56958300008773,165.04100000020117,0.9991,1.0391,0.8815,30,1,0,81,9225,1866,1.0,6042.0,1.1344,15.0
basic_35,35,6,mixed,True,True,True,True,True,completed,completed,4,1,1,3,1,1.0,2.129,2.333,2.366,2.3,2.517,20042,15125,0.0,3.244032,2.499,2.423,175.42299999968236,170.16066699989096,163.8765420002528,0.9138,1.0638,1.3251,54,3,1,102,12402,3305,1.3333,6680.6667,0.7547,18.0
basic_60,60,6,mixed,True,True,True,True,True,completed,completed,4,3,3,4,0,1.0,2.213,2.416,2.425,2.501,2.535,14542,18875,0.0,3.19488,2.493,2.554,173.23000000033062,171.9192909999947,164.32270799987236,0.9867,1.0455,0.7704,42,1,0,85,9529,3173,1.0,3635.5,1.298,10.5
basic_84,84,7,mixed,True,True,True,True,True,completed,completed,4,3,3,4,0,1.0,2.329,2.346,2.474,2.318,2.471,13958,15000,0.0,3.19488,2.522,2.695,173.2847920002314,172.07104199997048,163.19704099987575,0.9379,0.9987,0.9305,42,1,0,85,9529,3173,1.0,3489.5,1.0747,10.5
basic_97,97,7,mixed,True,True,True,True,True,completed,completed,8,2,2,3,0,1.0,2.283,2.363,2.725,2.538,2.383,17458,18375,0.0,3.227648,2.469,2.655,172.63937500001703,171.93016700002772,163.46941599977072,1.0647,0.8746,0.9501,64,1,0,104,11000,3835,2.6667,5819.3333,1.0525,21.3333
basic_100,100,7,mixed,True,True,True,True,True,completed,completed,6,3,4,5,1,0.75,2.207,2.428,2.293,2.302,2.353,18416,15167,0.0,3.244032,2.621,2.857,171.9274580000274,175.0301249999211,170.28091700012737,0.9786,1.0259,1.2142,70,3,1,103,12622,5396,1.2,3683.2,0.6177,14.0
basic_231,231,8,mixed,True,True,True,True,True,completed,completed,7,3,3,5,1,1.0,2.287,2.623,2.306,2.485,2.423,19542,15416,0.0,3.211264,2.598,2.619,172.8142500001013,173.74958300024446,164.85320799984038,1.0258,1.0509,1.2676,80,3,2,121,14388,5877,1.4,3908.4,0.7889,16.0
basic_997,997,10,mixed,True,True,True,True,True,completed,completed,30,10,10,11,0,1.0,2.205,2.58,2.415,2.412,2.499,27542,16958,0.0,3.227648,3.196,3.03,191.44983400019555,182.22633299956215,166.95600000002742,0.9653,1.0347,1.6241,224,1,0,194,18864,16657,2.7273,2503.8182,0.6157,20.3636
prime_8b,193,8,prime,True,True,True,True,True,completed,completed,12,4,4,5,0,1.0,2.214,2.563,2.572,2.49,2.872,24667,16834,0.0,3.211264,3.077,2.849,174.9794170000314,174.09941699997944,165.55150000021968,0.8667,1.1168,1.4653,104,1,0,126,12726,7031,2.4,4933.4,0.6825,20.8
semiprime_8b,194,8,semiprime,True,True,True,True,True,completed,completed,9,3,3,4,0,1.0,2.261,2.206,2.432,2.351,2.283,16875,15542,0.0,3.19488,2.57,2.625,170.74762499987628,171.64724999975078,162.82687500006432,1.0299,0.9387,1.0858,70,1,0,108,11203,4813,2.25,4218.75,0.921,17.5
